م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4245,21.432953,39.857746,صدم جسم ثابت اخر,وفاة,null
4244,20.834919,39.467403,انقلاب مركبة,وفاة,null
4243,21.3415,39.3515,صدم مركبة متحركة,اصابة,null
4242,21.55363,39.7760747,دهس مشاه,اصابة,null
4241,21.352428,39.896915,دهس مشاه,اصابة,null
4240,21.403378,39.786777,دهس مشاه,اصابة,null
4239,21.394554,21.394554,صدم مركبة متحركة,اصابة,null
4238,19.91192,41.080904,انقلاب مركبة,وفاة,null
4237,21.4563772,39.7596596,صدم مركبة متحركة,اصابة,null
4236,21.338196,39.993843,صدم مركبة متحركة,اصابة,null
4235,21.452166,39.36387,صدم مركبة متحركة,وفاة,null
4234,21.43398,39.82487,دهس مشاه,وفاة,null
4233,21.493162,39.958103,انقلاب مركبة,وفاة,null
4232,21.38102,39.896935,صدم مركبة متحركة,وفاة,null
4231,21.463282,39.805962,انقلاب مركبة,وفاة,null
4230,22.30888,39.763683,صدم مركبة متحركة,اصابة,null
4229,22.7162,39.1661,صدم حاجز جانبي,اصابة,null
4228,19.146903,41.083153,صدم مركبة متحركة,اصابة,null
4227,21.380438,39.806229,دهس مشاه,اصابة,null
4226,21.358568,39.802834,دهس مشاه,اصابة,null
4225,21.400173,39.821869,دهس مشاه,اصابة,null
4224,19.629744,40.936668,صدم عمود كهرباء,اصابة,null
4223,21.41825,39.82478,دهس مشاه,اصابة,null
4222,21.42553,39.5913,صدم سياج طريق,وفاة,null
4221,21.476307,39.911621,دهس مشاه,وفاة,null
4220,20.144896,40.273029,صدم مركبة متحركة,اصابة,null
4219,21.4511592,39.9303504,صدم مركبة متحركة,اصابة,null
4218,21.274586,39.55295,دهس مشاه,اصابة,null
4217,21.4260379,39.789429,دهس مشاه,اصابة,null
4216,20.3653127,40.9494922,صدم مركبة متحركة,وفاة,null
4215,22.3049,39.35196,صدم مركبة متحركة,اصابة,null
4214,22.29268,39.32579,صدم مركبة متحركة,اصابة,null
