grid_id,lat_grid,lon_grid,accident_count,avg_severity,latitude,longitude,predicted_count,risk_level
21.249551_39.936484,21.249550844412504,39.93648408040577,1,3.0,21.251367,39.940351,1.0007192075796727,Low
21.254042_39.429921,21.25404240028746,39.42992080081618,1,3.0,21.2547,39.4328,1.0407219767762776,Low
21.254042_39.43957,21.25404240028746,39.439569625189314,1,2.0,21.25598,39.44031,1.0835692870228586,Low
21.254042_39.468516,21.25404240028746,39.46851609830872,1,2.0,21.256451,39.47171,1.0908653930907037,Low
21.254042_39.478165,21.25404240028746,39.478164922681856,1,2.0,21.25432,39.48245,1.2346275650564555,Medium
21.254042_39.492638,21.25404240028746,39.49263815924156,3,2.3333333333333335,21.2547,39.49477666666667,3.038510101010101,High
21.254042_39.497463,21.25404240028746,39.49746257142812,1,2.0,21.25444,39.50023,1.1419206964978839,Medium
21.254042_39.507111,21.25404240028746,39.50711139580126,1,3.0,21.2543,39.51169,1.0453054215575546,Low
21.254042_39.511936,21.25404240028746,39.511935807987825,2,2.5,21.254735,39.51299,2.1607713113769624,High
21.254042_39.825523,21.25404240028746,39.82552260011472,1,2.0,21.254517,39.82917,1.129184546790746,Medium
21.254042_39.912362,21.25404240028746,39.91236201947293,1,2.0,21.257206,39.916772,1.0833893648951276,Low
21.258534_39.458867,21.258533956162413,39.45886727393559,1,2.0,21.26101,39.46344,1.2584121641899664,Medium
21.258534_39.473341,21.258533956162413,39.47334051049529,3,2.0,21.261106666666667,39.474155333333336,2.026310616044772,High
21.258534_39.492638,21.258533956162413,39.49263815924156,2,2.0,21.260995,39.49523000000001,1.5111863550724878,Medium
21.258534_39.502287,21.258533956162413,39.502286983614695,2,2.0,21.261699999999998,39.50341,1.580967360249629,Medium
21.258534_39.507111,21.258533956162413,39.50711139580126,1,3.0,21.26179,39.51181,1.0453054215575546,Low
21.258534_39.511936,21.258533956162413,39.511935807987825,2,2.5,21.261715000000002,39.512985,2.275771311376962,High
21.258534_39.825523,21.258533956162413,39.82552260011472,2,2.0,21.260252,39.826628,1.6299670392215786,High
21.263026_39.449218,21.26302551203737,39.44921844956245,1,2.0,21.26488,39.45257,1.1054113207684748,Low
21.263026_39.454043,21.26302551203737,39.454042861749016,1,2.0,21.26376,39.4558,1.122760040888934,Medium
21.263026_39.458867,21.26302551203737,39.45886727393559,1,2.0,21.26503,39.46364,1.1064486855775788,Low
21.263026_39.463692,21.26302551203737,39.463691686122154,1,3.0,21.26392,39.4645,1.0477172729492052,Low
21.263026_39.482989,21.26302551203737,39.48298933486842,1,2.0,21.26396,39.4848,1.122332312886772,Medium
21.263026_39.497463,21.26302551203737,39.49746257142812,1,2.0,21.26425,39.5012,1.1674872497850632,Medium
21.263026_39.502287,21.26302551203737,39.502286983614695,2,2.0,21.265807,39.505395,1.2161241334895943,Medium
21.263026_39.511936,21.26302551203737,39.511935807987825,4,2.5,21.2643225,39.5138175,2.6977753628810133,High
21.263026_39.714561,21.26302551203737,39.714561119823664,1,2.0,21.26726,39.717266,1.1630462349969246,Medium
